,unique_id,transaction_id,unformatted_date,product_id,product_name,category_id,category_name,parent_id,parent_name,product_count,site_id,site_name,address,city,zip,latitude,longitude,site_status,revenue,gross_profit,costs,units
2711,902815,20161010|362|2|2|3652001,2017-01-03,2168,SLC PZ BRKFST 13IN FCS,287,Slices,277,Pizza,39,132,362 Norfork,13862 Highway 5 S,Norfork,72658,36.2088,-92.2863,ACTIVE,2.39,1.804,0.586,1.0
2742,171963,20161011|396|2|2|1288481,2017-01-04,1639,BUD LT 25OZ CAN,196,Beer-premium (42),246,Beer,186,165,396 Pomeroy,116 S Main St,Pomeroy,50575,42.5506,-94.6855,CLOSED,9.0,2.61528,6.38472,4.0
529,2528566,20161011|397|1|100|3280548,2017-01-04,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,166,397 Pea Ridge,468 N Curtis Ave,Pea Ridge,72751,36.4456,-94.1154,ACTIVE,30.42,4.4319,25.9881,14.773
416,1343419,20161012|521|2|1|839811,2017-01-05,4190,WHITEO FLFR SWT 2/149,335,Tobacco-cigarillo (962),320,Cigars,342,275,521 Attalla,973 Gilbert Ferry Road Se,Attalla,35954,40.9892,-94.7355,ACTIVE,1.49,0.68154,0.80846,1.0
910,1609461,20161012|878|2|2|3117707,2017-01-05,10420,WTR PRFD 1GAL,255,Bottled Water,150,Juice/tonics,174,410,878 Forgan,115 S Broadway St,Forgan,73938,36.9063,-100.535,ACTIVE,1.99,1.35784,0.63216,1.0
648,115852,20161012|961|2|1|1813527,2017-01-05,10412,WTR SPRTCAP 20OZ,255,Bottled Water,150,Juice/tonics,174,467,961 Burlington,211 S Main St,Burlington,82411,44.4447,-108.431,ACTIVE,1.98,1.64256,0.33744,2.0
652,1023491,20161012|385|1|1|2937203,2017-01-05,5558,GRIZZLY LC WNTRGRN,334,Tobacco-round Can Snuff (960),321,Smokeless (951),363,155,385 Bentonville,1706 S Walton Blvd,Bentonville,72712,36.3531,-94.212,ACTIVE,4.75,1.3906,3.3594,1.0
2803,69936,20161012|835|4|1|153913,2017-01-05,13593,DR PEPPER 16OZ CAN,250,Pk Bev-csd/pop (71),243,Pop (587),448,378,835 Caddo,127 W Buffalo St,Caddo,74729,34.1256,-96.2611,CLOSED,1.29,0.59167,0.69833,1.0
989,781725,20161013|200|2|1|3326897,2017-01-06,5732,NABISC BELVITA BLUBRY 1.76OZ BAR,62,Cookies,29,Cookies,104,64,200 Cedar Falls,221 W 6Th St,Cedar Falls,50613,42.5336,-92.4478,ACTIVE,1.29,0.71286,0.57714,1.0
2463,2800079,20161014|615|2|1|2051521,2017-01-07,5365,LARGE COFFEE,145,Hot Disp Bev-retail (301),232,Hot Dispensed Beverage,9,318,615 Stickney,309 Main St,Stickney,57375,43.5894,-98.4377,ACTIVE,1.69,0.901981,0.788019,1.0
810,473364,20161015|455|2|1|2407557,2017-01-08,9014,MO $100000 BNZA 116,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,212,455 Adrian,127 E Main St,Adrian,64720,38.3972,-94.3511,CLOSED,5.0,0.25,4.75,1.0
1509,633952,20161015|59|2|1|2458194,2017-01-08,541,MT DEW 12PK,250,Pk Bev-csd/pop (71),243,Pop (587),448,313,59 Meservey,421 1St St,Meservey,50457,42.9122,-93.4784,ACTIVE,5.49,1.06488,4.42512,1.0
676,1425599,20161015|561|1|4|5227194,2017-01-08,10302,MONSTER UL ZRO 16OZ,261,Pk Bev-energy (carbonated) Fs (79),242,Energy carbonated,268,296,561 Gardendale,890 Odum Road,Gardendale,35071,39.8873,-94.8933,ACTIVE,5.5,1.56034,3.93966,3.0
2853,1637106,20161016|886|3|3|3365626,2017-01-09,674,CAMEL BLU 85 SP S75,161,Cig-premium (331),8,Cigarettes,435,417,886 Geary,120 Nw 1St St,Geary,73040,35.6319,-98.3186,ACTIVE,5.84,1.45896,4.38104,1.0
1742,2497609,20161016|840|1|100|2773039,2017-01-09,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,382,840 Albany,109 N Wade St,Albany,74721,33.8818,-96.162,CLOSED,29.93,4.5369,25.3931,15.123
360,1598258,20161017|863|2|2|3736088,2017-01-10,2168,SLC PZ BRKFST 13IN FCS,287,Slices,277,Pizza,39,397,863 Atoka,409 E Court St,Atoka,74525,34.3854,-96.124,ACTIVE,2.39,1.805,0.585,1.0
1786,1252094,20161017|480|3|3|2492218,2017-01-10,17798,SOUTHERN CMFR 70 50ML,173,Whiskey,249,Liquor,201,237,480 Ionia,206 N Main St,Ionia,65335,38.5027,-93.3235,ACTIVE,2.0,0.71284,1.28716,2.0
143,760196,20161017|171|1|1|2270427,2017-01-10,5679,LARGE CUP OF ICE,156,Cold Bev-other (316),233,Cold Dispensed Beverage,2,53,171 Scottsboro,24833 Johnt Reidprkw,Scottsboro,35768,36.2661,-92.5383,ACTIVE,0.49,0.317523,0.172477,1.0
374,2603292,20161018|227|2|2|3412464,2017-01-11,2179,HOT DOG FCS,280,Roller Grill Food,279,Roller Grill,9,90,227 Winthrop,253 W Madison St,Winthrop,50682,42.4732,-91.7338,ACTIVE,1.59,0.48703,1.10297,1.0
2425,2514312,20161018|143|1|100|3606817,2017-01-11,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,27,143 Haleyville,42417 Hwy 195,Haleyville,35565,34.1177,-91.3771,ACTIVE,6.01,0.888,5.122,2.96
2880,1611305,20161018|878|2|2|3135187,2017-01-11,4189,WHITEO WHTGRP POCH 2/149,335,Tobacco-cigarillo (962),320,Cigars,342,410,878 Forgan,115 S Broadway St,Forgan,73938,36.9063,-100.535,ACTIVE,1.49,0.75794,0.73206,1.0
1981,2610502,20161020|518|2|2|3162326,2017-01-12,2179,HOT DOG FCS,280,Roller Grill Food,279,Roller Grill,9,272,518 Massena,99 Main St,Massena,50853,41.2517,-94.7692,ACTIVE,1.59,1.086,0.504,1.0
48,942670,20161019|368|2|2|2822336,2017-01-12,1298,JACKLI TRYK STK 1CT,66,Alt Snack-meat Snacks (171),146,Jerky (305),219,137,368 Harrisburg,306 State St,Harrisburg,69345,41.5565,-103.741,ACTIVE,2.39,2.05864,0.33136,1.0
967,533088,20161019|447|2|1|2691196,2017-01-12,3407,GRANDM PB CREMES 3.03OZ,62,Cookies,29,Cookies,104,208,447 Lamar,131 W 11Th St,Lamar,64759,37.4941,-94.2775,ACTIVE,0.99,0.4,0.59,1.0
1540,1132918,20161020|412|1|1|2184021,2017-01-13,3307,L&M BX,207,Cig-off Inv-discount (442),11,Off Invoice Cigs (104),27,184,412 Gateway,17260 Highway 37 N,Gateway,72733,36.4909,-93.9312,ACTIVE,5.43,1.23133,4.19867,1.0
2328,1649419,20161020|887|3|1|3686209,2017-01-13,4916,ADVIL PM MD LD 4CT,112,Pain Relievers,127,Health & Beauty,43,418,887 Greenfield,100 Madison St,Greenfield,73043,35.7276,-98.3789,ACTIVE,2.49,1.51,0.98,1.0
2371,2885266,20161021|520|3|1|3582239,2017-01-14,5628,LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,274,520 Atlantic,1630 E 7Th St,Atlantic,50022,41.4048,-94.9895,ACTIVE,1.49,0.953464,0.536536,1.0
1552,1340246,20161021|520|1|2|3583924,2017-01-14,984,IA NAUGHTY OR NICE 312,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,274,520 Atlantic,1630 E 7Th St,Atlantic,50022,41.4048,-94.9895,ACTIVE,9.0,0.63,8.37,3.0
2489,1918979,20161021|4923|1|100|2860389,2017-01-14,19023,No Lead Premium Blend,1,Fuel Premuim,78,Fuel,68,250,4923 Commerce City,7351 Magnolia St,Commerce City,80022,39.8303,-104.911,ACTIVE,25.0,2.6703,22.3297,8.901
834,620788,20161021|51|3|3|2686156,2017-01-14,17882,HOSTESS VNL ICD ZNGR 3.81OZ,60,Cakes & pastrie,262,Bread & Cakes,217,267,51 Griswold,608 4Th St,Griswold,51535,41.2335,-95.1403,ACTIVE,1.99,1.207,0.783,1.0
1556,1266419,20161022|497|1|100|926387,2017-01-15,18972,E85,1,Fuel Premuim,78,Fuel,68,257,497 Patton,1000 State Route 51,Patton,63662,37.5003,-90.0134,ACTIVE,21.75,4.3524,17.3976,14.508
441,1589904,20161022|863|1|2|3761239,2017-01-15,2161,SLC PZ PEPPRNI 13IN FCS,287,Slices,277,Pizza,39,397,863 Atoka,409 E Court St,Atoka,74525,34.3854,-96.124,ACTIVE,3.54,2.642,0.898,2.0
721,2386037,20161022|520|3|1|3586151,2017-01-15,18234,LOTTERY WIN,135,Lottery-win (270),307,Store Services (92),1,274,520 Atlantic,1630 E 7Th St,Atlantic,50022,41.4048,-94.9895,ACTIVE,-20.0,0.0,0.0,20.0
413,1540870,20161023|667|2|2|3481725,2017-01-16,3157,MARLB MEN GLD BX S1 SPNSH,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,336,667 Hooper,11701 State Highway 17,Hooper,81136,37.7451,-105.881,ACTIVE,5.17,1.145,4.025,1.0
1583,586970,20161023|29|1|1|3214631,2017-01-16,3738,LAYS CLASSIC 2.75OZ,52,Potato Chips,2,Chips,251,111,29 Washburn,303 Main St,Washburn,65772,36.5885,-93.9646,ACTIVE,1.49,0.45,1.04,1.0
2393,2660990,20161023|29|1|1|3214523,2017-01-16,5538,MEDIUM FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,111,29 Washburn,303 Main St,Washburn,65772,36.5885,-93.9646,ACTIVE,2.58,1.667476,0.912524,2.0
6,71994,20161023|219|1|1|1500134,2017-01-16,12367,SKOAL SNUS SMTH MNT,334,Tobacco-round Can Snuff (960),321,Smokeless (951),363,80,219 Waverly,1311 4Th St Sw,Waverly,50677,42.7121,-92.4746,CLOSED,3.59,1.49667,2.09333,1.0
2220,2679465,20161023|397|2|2|3316990,2017-01-16,5538,MEDIUM FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,166,397 Pea Ridge,468 N Curtis Ave,Pea Ridge,72751,36.4456,-94.1154,ACTIVE,1.29,0.830664,0.459336,1.0
739,2534803,20161023|476|1|100|3270323,2017-01-16,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,233,476 Birmingham,9248 Parkway East,Birmingham,35206,40.1128,-94.8225,ACTIVE,18.8,2.8785,15.9215,9.595
321,2549345,20161024|891|1|100|1677414,2017-01-17,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,421,891 Canton,202 W Main St,Canton,73724,36.0537,-98.5899,ACTIVE,18.14,2.7219,15.4181,9.073
2295,613840,20161024|51|1|2|2698072,2017-01-17,306,STARBUCKS DBLSHT WHT CHOC 15OZ CAN,363,Coffee Drinks,36,Dairy,110,267,51 Griswold,608 4Th St,Griswold,51535,41.2335,-95.1403,ACTIVE,2.25,0.66474,1.58526,1.0
633,149247,20161024|360|1|1|1917286,2017-01-17,13143,LONGHRN LC MNT,334,Tobacco-round Can Snuff (960),321,Smokeless (951),363,130,360 Roseland,9230 S Lincoln Ave,Roseland,68973,40.4705,-98.5592,ACTIVE,14.95,3.575,11.375,1.0
1624,2523084,20161025|367|1|100|2216376,2017-01-18,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,136,367 Arthur,309 Fir St,Arthur,69121,41.5711,-101.691,ACTIVE,48.3,6.711,41.589,22.37
2984,286664,20161025|860|1|2|2746678,2017-01-18,3800,CHESTER HT FRI 4OZ,53,Salty Snacks -tort/corn Chips (152),5,Salty Snacks,243,394,860 Cherokee,1780 S Grand Ave,Cherokee,73728,36.7396,-98.3596,ACTIVE,1.49,0.45,1.04,1.0
1339,238405,20161025|840|4|1|2798017,2017-01-18,30,JOLLYRA GMMI BITES KS,267,Healthy Candy,331,Candy,230,382,840 Albany,109 N Wade St,Albany,74721,33.8818,-96.162,CLOSED,1.99,0.89667,1.09333,1.0
2403,2518680,20161025|200|1|100|3368287,2017-01-18,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,64,200 Cedar Falls,221 W 6Th St,Cedar Falls,50613,42.5336,-92.4478,ACTIVE,52.24,7.1274,45.1126,23.758
2047,923697,20161025|367|2|1|2215566,2017-01-18,6678,GATOR FIERCE STRWBRY 28OZ,252,Sports Drinks,150,Juice/tonics,132,136,367 Arthur,309 Fir St,Arthur,69121,41.5711,-101.691,ACTIVE,4.0,2.0168,1.9832,2.0
592,1612049,20161025|878|1|1|3154456,2017-01-18,10378,MONSTER MEGA 24OZ,261,Pk Bev-energy (carbonated) Fs (79),242,Energy carbonated,268,410,878 Forgan,115 S Broadway St,Forgan,73938,36.9063,-100.535,ACTIVE,3.59,1.69291,1.89709,1.0
2461,124177,20161025|238|4|1|1236499,2017-01-18,9868,SKU LGHTRS,194,Gen Merch-smoking Assoc (428),182,Gm/novelty,56,96,238 Lamont,620 Bush St,Lamont,50650,42.5991,-91.6416,CLOSED,1.79,1.14588,0.64412,1.0
8,2523329,20161027|368|1|100|2845898,2017-01-19,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,137,368 Harrisburg,306 State St,Harrisburg,69345,41.5565,-103.741,ACTIVE,29.9,4.194,25.706,13.98
1275,113942,20161026|338|1|1|1310153,2017-01-19,9212,OMAHA WORLD HERALD,114,Nwspapers,183,Newspapers,296,124,338 Hastings,300 N Kansas Ave,Hastings,68901,40.5864,-98.3858,CLOSED,1.0,0.05,0.95,1.0
957,2497237,20161026|494|1|100|1166948,2017-01-19,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,253,494 Moulton,15445 Highway 24,Moulton,35650,39.2107,-91.7252,ACTIVE,36.93,5.9589,30.9711,19.863
2438,1045999,20161027|391|3|3|4630087,2017-01-20,9783,CHESTERS 3 TNDRS,276,Hot Food,275,Hot Sandwiches & Chicken,207,161,391 Hamilton,1706 Military Street South,Hamilton,35570,34.4062,-91.4074,ACTIVE,7.99,2.119756,5.870244,1.0
1122,1333330,20161027|520|2|2|3603281,2017-01-20,318,STARBUCKS DBLSHT HZLNUT 15OZ CAN,363,Coffee Drinks,36,Dairy,110,274,520 Atlantic,1630 E 7Th St,Atlantic,50022,41.4048,-94.9895,ACTIVE,2.25,0.59762,1.65238,1.0
2695,332404,20161028|915|1|2|1678476,2017-01-21,593,CAMEL CRUSH MEN REG 85 BX,161,Cig-premium (331),8,Cigarettes,435,435,915 Chromo,23470 Us Highway 84,Chromo,81128,37.0353,-106.84,CLOSED,5.42,1.18574,4.23426,1.0
1700,454862,20161028|938|1|100|1666091,2017-01-21,19023,No Lead Premium Blend,1,Fuel Premuim,78,Fuel,68,451,938 Pritchett,153 Randolph St,Pritchett,81064,37.368,-102.86,ACTIVE,55.17,6.087,49.083,20.29
264,2510545,20161028|835|2|1|183232,2017-01-21,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,378,835 Caddo,127 W Buffalo St,Caddo,74729,34.1256,-96.2611,CLOSED,15.0,2.4606,12.5394,8.202
2894,1757010,20161028|933|2|1|2118321,2017-01-21,13754,SMART WTR 700ML,255,Bottled Water,150,Juice/tonics,174,447,933 Las Animas,513 6Th St,Las Animas,81054,38.0661,-103.223,ACTIVE,1.99,0.80522,1.18478,1.0
2192,2530194,20161028|406|2|3|3783958,2017-01-21,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,178,406 Harrison,215 W Industrial Park Rd,Harrison,72601,36.2509,-93.1298,ACTIVE,15.0,2.274,12.726,7.58
1072,720100,20161029|152|2|2|4075451,2017-01-21,2987,MARLB RED SP,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,42,152 Wilmot,202 Mccombs St,Wilmot,71676,33.0593,-91.5728,ACTIVE,24.88,2.70964,22.17036,4.0
1553,1018168,20161028|383|2|2|4279781,2017-01-21,17930,HOSTESS PWDR SGR MN DNT 6CT,61,Muffins & Donuts,262,Bread & Cakes,53,153,383 Rogers,4600 W Walnut St,Rogers,72756,36.3337,-94.1811,ACTIVE,1.99,1.29828,0.69172,1.0
2681,667619,20161029|135|2|2|1103128,2017-01-22,1512,BUSCH LT 12PK CAN,205,Beer-popular (43),246,Beer,74,20,135 Fort Payne,2001 Glenn Bldv Sw,Fort Payne,35968,41.5445,-94.9231,ACTIVE,11.99,2.89844,9.09156,1.0
883,49810,20161029|938|2|1|1668971,2017-01-22,4343,REESES FST BRK 3.5OZ KS,266,Vegan Candy,331,Candy,304,451,938 Pritchett,153 Randolph St,Pritchett,81064,37.368,-102.86,ACTIVE,1.99,1.22577,0.76423,1.0
275,2501403,20161029|860|2|1|2758361,2017-01-22,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,394,860 Cherokee,1780 S Grand Ave,Cherokee,73728,36.7396,-98.3596,ACTIVE,15.0,2.1543,12.8457,7.181
1566,1334442,20161029|520|3|1|3609907,2017-01-22,6353,SURGE CIT 16OZ CAN,250,Pk Bev-csd/pop (71),243,Pop (587),448,274,520 Atlantic,1630 E 7Th St,Atlantic,50022,41.4048,-94.9895,ACTIVE,1.29,0.65121,0.63879,1.0
2579,786757,20161030|226|1|1|3532900,2017-01-23,739,TRIDENT VALU PNAPL TWST 18PC,263,Gum,119,Gum,128,89,226 Quasqueton,113 E Dubuque St,Quasqueton,52326,42.3946,-91.7603,ACTIVE,1.49,0.82455,0.66545,1.0
208,2501866,20161030|953|1|100|1476706,2017-01-23,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,459,953 Laramie,152 N 5Th St,Laramie,82072,41.3132,-105.591,ACTIVE,40.77,5.3433,35.4267,17.811
469,1447043,20161031|563|1|1|2401621,2017-01-24,10299,MONSTER REHAB ORNGADE 15.5OZ,142,Energy non-carb FS (279),215,Energy non-carb,59,298,563 Jackson,4206 N College Ave,Jackson,36545,40.4403,-95.3812,ACTIVE,2.69,1.37667,1.31333,1.0
2771,45922,20161031|421|3|1|639547,2017-01-24,5162,SNICKER ALMND 3.23OZ KS,266,Vegan Candy,331,Candy,304,190,421 Dedham,415 3Rd St,Dedham,51440,41.9072,-94.823,CLOSED,1.99,0.87833,1.11167,1.0
2918,817747,20161031|228|5|2|3703112,2017-01-24,17272,CAPT MORGAN SPCD 375ML,170,Rum,249,Liquor,92,91,228 Brandon,704 Main St,Brandon,52210,42.3147,-92.0057,ACTIVE,22.98,7.98,15.0,2.0
2813,72979,20161031|421|3|1|639476,2017-01-24,18235,LOTTO WIN,137,Lotto (271),136,Lotto (271),2,190,421 Dedham,415 3Rd St,Dedham,51440,41.9072,-94.823,CLOSED,-12.0,0.0,0.0,12.0
2434,1220531,20161031|471|2|2|1582093,2017-01-24,5364,32OZ FTN REFILL,154,Cold Bev-refills (314),233,Cold Dispensed Beverage,8,228,471 Columbia,511 E Walnut St,Columbia,65201,38.9532,-92.3313,ACTIVE,1.0,0.648292,0.351708,1.0
2532,2495391,20161031|768|1|1|912274,2017-01-24,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,359,768 Larrabee,116 N Main St,Larrabee,51029,42.8615,-95.5455,CLOSED,5.0,0.6825,4.3175,2.275
1529,2603398,20161101|227|2|2|3463965,2017-01-25,2179,HOT DOG FCS,280,Roller Grill Food,279,Roller Grill,9,90,227 Winthrop,253 W Madison St,Winthrop,50682,42.4732,-91.7338,ACTIVE,1.59,1.057,0.533,1.0
737,741456,20161102|158|2|1|5319592,2017-01-25,3873,CHEETO FLMN HT 8.5OZ,53,Salty Snacks -tort/corn Chips (152),5,Salty Snacks,243,49,158 Russellville,13675 Hwy 43,Russellville,35653,33.2376,-91.5121,ACTIVE,3.49,0.92,2.57,1.0
2555,49161,20161102|865|2|1|2522098,2017-01-26,10459,WTR RSPBRY NFSPLSH 20OZ,255,Bottled Water,150,Juice/tonics,174,399,865 Lane,11820 E Highway 3,Lane,74555,34.298,-95.9867,ACTIVE,1.19,0.94333,0.24667,1.0
799,1793446,20161102|975|2|3|2154279,2017-01-26,2309,LD CCNT CRNCH MINI DNUT 3.25OZ,61,Muffins & Donuts,262,Bread & Cakes,53,477,975 Boulder,1905 28Th St,Boulder,80301,40.0201,-105.26,ACTIVE,0.75,0.27,0.48,1.0
2731,1429548,20161103|561|2|6|5335901,2017-01-27,4614,ICE HOUSE 24OZ CAN,205,Beer-popular (43),246,Beer,74,296,561 Gardendale,890 Odum Road,Gardendale,35071,39.8873,-94.8933,ACTIVE,1.99,0.87333,1.11667,1.0
2108,460214,20161103|867|2|2|2237558,2017-01-27,288,STARBUCKS DBLSHT MOCHA 15OZ CAN,363,Coffee Drinks,36,Dairy,110,401,867 Caney,200 W Main St,Caney,74533,34.2321,-96.2133,ACTIVE,2.99,1.385,1.605,1.0
130,2611155,20161103|535|2|2|1964398,2017-01-27,2179,HOT DOG FCS,280,Roller Grill Food,279,Roller Grill,9,280,535 Lowden,308 Washington Ave,Lowden,52255,41.858,-90.9264,ACTIVE,1.59,1.069,0.521,1.0
1795,955736,20161103|369|2|2|2302554,2017-01-27,409,MT DEW MNGO 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,138,369 Purdum,84451 Purdum Ave,Purdum,69157,42.0644,-100.259,ACTIVE,1.5,0.402,1.098,1.0
1768,411743,20161105|840|2|1|2828785,2017-01-29,674,CAMEL BLU 85 SP S75,161,Cig-premium (331),8,Cigarettes,435,382,840 Albany,109 N Wade St,Albany,74721,33.8818,-96.162,CLOSED,5.84,1.4617,4.3783,1.0
240,275283,20161105|447|2|1|2732780,2017-01-29,6690,GATOR COOL BLU 24OZ,252,Sports Drinks,150,Juice/tonics,132,208,447 Lamar,131 W 11Th St,Lamar,64759,37.4941,-94.2775,ACTIVE,2.19,1.06667,1.12333,1.0
1458,1641054,20161105|886|3|2|3436825,2017-01-29,3738,LAYS CLASSIC 2.75OZ,52,Potato Chips,2,Chips,251,417,886 Geary,120 Nw 1St St,Geary,73040,35.6319,-98.3186,ACTIVE,1.49,0.45,1.04,1.0
2482,2554841,20161106|4923|1|100|2922641,2017-01-30,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,250,4923 Commerce City,7351 Magnolia St,Commerce City,80022,39.8303,-104.911,ACTIVE,41.07,5.4546,35.6154,18.182
966,373371,20161107|2217|1|2|1869230,2017-01-31,982,IA MOSSLETOE DBLR 310,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,84,2217 Ogden,202 Sw 4Th St,Ogden,50212,42.0378,-94.0322,CLOSED,2.0,1.34,0.66,1.0
2239,271106,20161107|473|1|1|2420626,2017-01-31,950,44OZ FTN REFILL,154,Cold Bev-refills (314),233,Cold Dispensed Beverage,8,230,473 Hume,101 Main St,Hume,64752,38.091,-94.5834,ACTIVE,1.19,0.771465,0.418535,1.0
1305,2509965,20161108|865|2|1|2537166,2017-02-01,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,399,865 Lane,11820 E Highway 3,Lane,74555,34.298,-95.9867,ACTIVE,10.0,1.6959,8.3041,5.653
1077,2720836,20161110|50|2|1|2594466,2017-02-03,3002,MARLB GLD BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,260,50 Andalusia,540 West Bypass,Andalusia,36420,41.2039,-94.4171,ACTIVE,7.55,1.90603,5.64397,1.0
407,842910,20161110|229|3|1|3586532,2017-02-03,3782,CHEETO FLMN HT CRNCHY 3.5OZ,53,Salty Snacks -tort/corn Chips (152),5,Salty Snacks,243,92,229 Independence,200 2Nd Ave Ne,Independence,50644,42.47,-91.893,ACTIVE,1.49,0.45,1.04,1.0
828,549666,20161111|388|2|1|1714958,2017-02-04,9812,CHESTERS 1 SNK,276,Hot Food,275,Hot Sandwiches & Chicken,207,158,388 Decatur,750 E Roller Ave,Decatur,72722,36.3362,-94.4536,ACTIVE,1.59,0.421838,1.168162,1.0
2759,2377532,20161111|227|2|2|3500145,2017-02-04,18234,LOTTERY WIN,135,Lottery-win (270),307,Store Services (92),1,90,227 Winthrop,253 W Madison St,Winthrop,50682,42.4732,-91.7338,ACTIVE,-5.0,0.0,0.0,5.0
125,1158749,20161112|433|2|1|3545693,2017-02-05,2101,STARBUR GMYBRST HB 6OZ,267,Healthy Candy,331,Candy,230,197,433 Bay Minette,701 Mcmeans Ave,Bay Minette,36507,40.1474,-92.3793,ACTIVE,2.79,1.485,1.305,1.0
940,1604685,20161112|877|1|100|3478024,2017-02-05,19021,Midgrade Blend,1,Fuel Premuim,78,Fuel,68,409,877 Kenefic,117 Mary St,Kenefic,74748,34.1441,-96.3633,ACTIVE,13.0,2.1096,10.8904,7.032
2518,2727038,20161112|551|1|1|2712606,2017-02-05,3002,MARLB GLD BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,287,551 Ashland,131 E Broadway,Ashland,65010,38.7749,-92.2606,ACTIVE,5.04,0.79602,4.24398,1.0
773,903652,20161113|362|3|1|3801070,2017-02-06,12290,COPENHGN FC SNUFF,334,Tobacco-round Can Snuff (960),321,Smokeless (951),363,132,362 Norfork,13862 Highway 5 S,Norfork,72658,36.2088,-92.2863,ACTIVE,6.75,1.572,5.178,1.0
